ACCOUNT_COID,PURPRINCIPAL
CI 0014 416267633         , 1284.0808
CI 0014 416265369         , 2579.6756
CI 0014 416265479         , 479.5144
CI 0014 416268864         , 5702.2572
CI 0014 416260352         , 7753.6796
CI 0014 416267022         , 8572.3136
CI 0014 416268535         , 1589.4792
CI 0014 416266253         , 3105.512
CI 0014 416266793         , 6465.9432
CI 0014 416267632         , 15828.6492
CI 0014 416260679         , 4859.0524
CI 0014 416263826         , 18804.4672
CI 0014 416266305         , 5919.792
CI 0014 416269306         , 4325.4412
CI 0014 600039888         , 4315.85
CI 0014 416270471         , 1367.7568
CI 0014 416268186         , 1039.756
CI 0014 416270140         , 11212.3484
CI 0014 600039891         , 5824.2904
CI 0014 416268200         , 0.2964
CI 0014 416264459         , 13623.6536
CI 0014 416263728         , 9952.3748
CI 0014 416268504         , 1924.8748
CI 0014 416261118         , 54690.9072
CI 0014 416261454         , 27596.9832
CI 0014 416263740         , 14679.1264
CI 0014 416265596         , 7203.7208
CI 0014 416266159         , 1870.0332
CI 0014 416266549         , 21443.9472
CI 0014 416262650         , 13523.972
CI 0014 416269345         , 3131.6636
CI 0014 416268328         , 3206.82
CI 0014 416268694         , 1826.166
CI 0014 416266489         , 8424.0148
CI 0014 416264303         , 21242.76
CI 0014 416266703         , 1978.0976
CI 0014 416270091         , 15248.4424
CI 0014 416268426         , 985.4236
CI 0014 416262341         , 6147.868
CI 0014 416265659         , 11561.6596
CI 0014 416266861         , 10061.1688
CI 0014 600039890         , 9161.0248
CI 0014 416265448         , 4147.4036
CI 0014 416269819         , 7832.3776
CI 0014 416267248         , 2533.3764
CI 0014 416268270         , 3539.8064
CI 0014 416267527         , 1701.5868
CI 0014 416261300         , 12339.5424
CI 0014 416269538         , 760.0
CI 0014 416261571         , 1447.6404
CI 0014 600039889         , 28303.0916
CI 0014 600039892         , 6231.5288
CI 0014 416263465         , 14945.3848
CI 0014 416264698         , 3618.1852
CI 0014 416267045         , 2390.1924
CI 0014 416266616         , 3417.5528
CI 0014 416270452         , 9067.3928
CI 0014 416266259         , 1834.2752
CI 0014 416266719         , 1334.4156
CI 0014 416262822         , 3632.8988
CI 0014 416263620         , 2623.216
CI 0014 416266224         , 4037.4316
CI 0014 416265540         , 10132.7228
CI 0014 416263209         , 2822.5184
CI 0014 416261811         , 1063.9164
CI 0014 416268788         , 3683.8872
CI 0014 416269349         , 8114.596
CI 0014 416269074         , 19363.3256
CI 0014 416266382         , 1638.5144
CI 0014 416269214         , 14295.2124
CI 0014 416268596         , 11155.09
CI 0014 416268258         , 2298.5516
CI 0014 416263615         , 4659.3548
CI 0014 600039893         , 1669.9632
CI 0014 416269551         , 7608.4816
CI 0014 416268419         , 11564.6844
CI 0014 600039894         , 32997.0796
CI 0014 416269125         , 7157.0872
